날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2019-10-10,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,해운대구,8175,해운대구,750,10.1%,"7,800"
2019-10-10,간장,오복왕표 0.9ℓ 1병,6350,해운대구,7250,해운대구,900,14.17%,"6,800"
2019-10-10,갈치,60cm정도 500g 1마리(냉동),11216,해운대구,18670,해운대구,7454,66.46%,"14,943"
2019-10-10,고등어,30㎝정도 500g 1마리,3240,해운대구,3571,해운대구,331,10.22%,"3,406"
2019-10-10,달걀,오경슈퍼란60g정도 10개,2680,해운대구,2700,해운대구,20,0.75%,"2,690"
2019-10-10,닭고기,육계 1.0㎏,4714,해운대구,5700,해운대구,986,20.92%,"5,207"
2019-10-10,대파,1.0㎏,2758,해운대구,3425,해운대구,667,24.18%,"3,092"
2019-10-10,돼지고기,삼겹살 500g,8400,해운대구,9900,해운대구,1500,17.86%,"9,150"
2019-10-10,두부,500g 판두부(국산포장두부 420g) 1모,2828,해운대구,4879,해운대구,2051,72.52%,"3,854"
2019-10-10,라면,신라면 120g 1봉지,676,해운대구,676,해운대구,0,0.0%,676
2019-10-10,맥주,하이트 500㎖ 1병,1410,해운대구,1410,해운대구,0,0.0%,"1,410"
2019-10-10,무,2.0㎏ 1개,2722,해운대구,2866,해운대구,144,5.29%,"2,794"
2019-10-10,밀가루,백설표 중력분1등2.5㎏,3080,해운대구,3516,해운대구,436,14.16%,"3,298"
2019-10-10,밀감,100g 정도10개,3300,해운대구,5950,해운대구,2650,80.3%,"4,625"
2019-10-10,배,600g 정도 신고 10개,11596,해운대구,40094,해운대구,28498,245.76%,"25,845"
2019-10-10,배추,2.0㎏ 1포기,7035,해운대구,11633,해운대구,4598,65.36%,"9,334"
2019-10-10,부엌용세제,참그린1.4㎏1봉리필용,3733,해운대구,3900,해운대구,167,4.47%,"3,817"
2019-10-10,분말커피,맥심 스틱(커피믹스) 모카골드 100T,10900,해운대구,13800,해운대구,2900,26.61%,"12,350"
2019-10-10,사과,300g정도 부사 10개,8583,해운대구,14490,해운대구,5907,68.82%,"11,537"
2019-10-10,사이다,칠성 PET병 1.5ℓ,1816,해운대구,2450,해운대구,634,34.91%,"2,133"
2019-10-10,설탕,백설표 정백당 1㎏,1580,해운대구,1630,해운대구,50,3.16%,"1,605"
2019-10-10,소주,시원소주 360㎖ 1병,1190,해운대구,1190,해운대구,0,0.0%,"1,190"
2019-10-10,식용유,백설표콩기름1.8ℓ,5980,해운대구,6950,해운대구,970,16.22%,"6,465"
2019-10-10,쌀,정미포장미 20㎏,48800,해운대구,54800,해운대구,6000,12.3%,"51,800"
2019-10-10,양파,1.0㎏-잎없는것,1135,해운대구,1337,해운대구,202,17.8%,"1,236"
2019-10-10,오징어,25cm정도 500g 2마리(냉동),5963,해운대구,9027,해운대구,3064,51.38%,"7,495"
2019-10-10,우유,부산우유 200㎖ 종이팩,800,해운대구,800,해운대구,0,0.0%,800
2019-10-10,참기름,오뚜기 320㎖ 1병,4980,해운대구,7240,해운대구,2260,45.38%,"6,110"
2019-10-10,커피크림,동서 500g 리필용,2350,해운대구,2550,해운대구,200,8.51%,"2,450"
2019-10-10,콜라,코카콜라 PET병 1.8ℓ,2490,해운대구,3576,해운대구,1086,43.61%,"3,033"
2019-10-10,화장지,뽀삐플러스30m×30롤(3겹),18581,해운대구,26900,해운대구,8319,44.77%,"22,741"
