날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2024-01-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7416,해운대구,14850,해운대구,7434,100.24%,"10,397"
2024-01-11,간장,오복왕표 0.9ℓ 1병,5980,해운대구,7500,해운대구,1520,25.42%,"6,876"
2024-01-11,갈치,60cm정도 500g 1마리(냉동),10394,해운대구,15000,해운대구,4606,44.31%,"12,134"
2024-01-11,고등어,30㎝정도 500g 1마리,4878,해운대구,6005,해운대구,1127,23.1%,"5,445"
2024-01-11,달걀,오경슈퍼란60g정도 10개,3990,해운대구,4280,해운대구,290,7.27%,"4,157"
2024-01-11,닭고기,육계 1.0㎏,4980,해운대구,10600,해운대구,5620,112.85%,"8,522"
2024-01-11,대파,1.0㎏,3047,해운대구,6935,해운대구,3888,127.6%,"4,972"
2024-01-11,돼지고기,삼겹살 500g,8900,해운대구,13450,해운대구,4550,51.12%,"10,917"
2024-01-11,두부,500g 판두부(국산포장두부 420g) 1모,3486,해운대구,6067,해운대구,2581,74.04%,"4,463"
2024-01-11,라면,신라면 120g 1봉지,780,해운대구,780,해운대구,0,0.0%,780
2024-01-11,맥주,하이트 500㎖ 1병,1660,해운대구,1820,해운대구,160,9.64%,"1,723"
2024-01-11,무,2.0㎏ 1개,1766,해운대구,2074,해운대구,308,17.44%,"1,878"
2024-01-11,밀가루,백설표 중력분1등2.5㎏,4420,해운대구,4600,해운대구,180,4.07%,"4,493"
2024-01-11,밀감,100g 정도10개,4964,해운대구,7920,해운대구,2956,59.55%,"6,079"
2024-01-11,배,600g 정도 신고 10개,40326,해운대구,54500,해운대구,14174,35.15%,"46,752"
2024-01-11,배추,2.0㎏ 1포기,1792,해운대구,4266,해운대구,2474,138.06%,"2,938"
2024-01-11,부엌용세제,참그린1.4㎏1봉리필용,4165,해운대구,9500,해운대구,5335,128.09%,"6,072"
2024-01-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16450,해운대구,16480,해운대구,30,0.18%,"16,470"
2024-01-11,사과,300g정도 부사 10개,18333,해운대구,34817,해운대구,16484,89.91%,"26,212"
2024-01-11,사이다,칠성 PET병 1.5ℓ,2816,해운대구,2890,해운대구,74,2.63%,"2,841"
2024-01-11,설탕,백설표 정백당 1㎏,2350,해운대구,2380,해운대구,30,1.28%,"2,370"
2024-01-11,소주,시원소주 360㎖ 1병,1330,해운대구,1500,해운대구,170,12.78%,"1,393"
2024-01-11,식용유,백설표콩기름1.8ℓ,6980,해운대구,8480,해운대구,1500,21.49%,"7,980"
2024-01-11,쌀,정미포장미 20㎏,52800,해운대구,66900,해운대구,14100,26.7%,"58,867"
2024-01-11,양파,1.0㎏-잎없는것,1715,해운대구,2123,해운대구,408,23.79%,"1,941"
2024-01-11,오징어,25cm정도 500g 2마리(냉동),9464,해운대구,14391,해운대구,4927,52.06%,"11,501"
2024-01-11,우유,부산우유 200㎖ 종이팩,1030,해운대구,1063,해운대구,33,3.2%,"1,051"
2024-01-11,참기름,오뚜기 320㎖ 1병,10600,해운대구,11600,해운대구,1000,9.43%,"10,933"
2024-01-11,커피크림,동서 500g 리필용,2704,해운대구,3000,해운대구,296,10.95%,"2,831"
2024-01-11,콜라,코카콜라 PET병 1.8ℓ,1980,해운대구,4380,해운대구,2400,121.21%,"3,363"
2024-01-11,화장지,뽀삐플러스30m×30롤(3겹),12382,해운대구,35100,해운대구,22718,183.48%,"26,405"
