날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2024-07-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8925,남구,9675,남구,750,8.4%,"9,300"
2024-07-11,간장,오복왕표 0.9ℓ 1병,7147,남구,9684,남구,2537,35.5%,"8,416"
2024-07-11,갈치,60cm정도 500g 1마리(냉동),3980,남구,13200,남구,9220,231.66%,"8,590"
2024-07-11,고등어,30㎝정도 500g 1마리,4350,남구,6250,남구,1900,43.68%,"5,300"
2024-07-11,달걀,오경슈퍼란60g정도 10개,3990,남구,4380,남구,390,9.77%,"4,185"
2024-07-11,닭고기,육계 1.0㎏,8725,남구,8990,남구,265,3.04%,"8,858"
2024-07-11,대파,1.0㎏,2580,남구,3544,남구,964,37.36%,"3,062"
2024-07-11,돼지고기,삼겹살 500g,12450,남구,26900,남구,14450,116.06%,"19,675"
2024-07-11,두부,500g 판두부(국산포장두부 420g) 1모,3033,남구,6056,남구,3023,99.67%,"4,545"
2024-07-11,라면,신라면 120g 1봉지,780,남구,780,남구,0,0.0%,780
2024-07-11,맥주,하이트 500㎖ 1병,1660,남구,1820,남구,160,9.64%,"1,740"
2024-07-11,무,2.0㎏ 1개,2990,남구,4360,남구,1370,45.82%,"3,675"
2024-07-11,밀가루,백설표 중력분1등2.5㎏,4290,남구,4420,남구,130,3.03%,"4,355"
2024-07-11,밀감,100g 정도10개,9214,남구,9991,남구,777,8.43%,"9,603"
2024-07-11,배,600g 정도 신고 10개,95960,남구,99500,남구,3540,3.69%,"97,730"
2024-07-11,배추,2.0㎏ 1포기,3280,남구,5490,남구,2210,67.38%,"4,385"
2024-07-11,부엌용세제,참그린1.4㎏1봉리필용,8330,남구,9500,남구,1170,14.05%,"8,915"
2024-07-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16450,남구,16480,남구,30,0.18%,"16,465"
2024-07-11,사과,300g정도 부사 10개,23800,남구,38970,남구,15170,63.74%,"31,385"
2024-07-11,사이다,칠성 PET병 1.5ℓ,2880,남구,3066,남구,186,6.46%,"2,973"
2024-07-11,설탕,백설표 정백당 1㎏,2330,남구,2330,남구,0,0.0%,"2,330"
2024-07-11,소주,시원소주 360㎖ 1병,1330,남구,1350,남구,20,1.5%,"1,340"
2024-07-11,쇠고기,한우등심 1등급 500g,49900,남구,59500,남구,9600,19.24%,"54,700"
2024-07-11,식용유,백설표콩기름1.8ℓ,8480,남구,8480,남구,0,0.0%,"8,480"
2024-07-11,쌀,정미포장미 20㎏,49900,남구,64900,남구,15000,30.06%,"57,400"
2024-07-11,양파,1.0㎏-잎없는것,1933,남구,2052,남구,119,6.16%,"1,993"
2024-07-11,오징어,25cm정도 500g 2마리(냉동),5980,남구,13111,남구,7131,119.25%,"9,546"
2024-07-11,우유,부산우유 200㎖ 종이팩,1040,남구,1063,남구,23,2.21%,"1,052"
2024-07-11,참기름,오뚜기 320㎖ 1병,10600,남구,10600,남구,0,0.0%,"10,600"
2024-07-11,커피크림,동서 500g 리필용,2990,남구,3000,남구,10,0.33%,"2,995"
2024-07-11,콜라,코카콜라 PET병 1.8ℓ,2380,남구,3730,남구,1350,56.72%,"3,055"
2024-07-11,화장지,뽀삐플러스30m×30롤(3겹),23333,남구,24900,남구,1567,6.72%,"24,117"
